Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Moonee Ponds,Australian Red Cross Moonee Ponds Op Shop,64 Puckle Street	,VIC,3039,2021-07-12,12/07/2021,12:30pm - 1:15pm,Case attended,2021-07-15,15/07/2021,19:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:30:00,13:15:00
Bundoora,Dr Suguna Vimalanathan Dental Surgery,U1-2 12/16 McLeans Road,VIC,3083,2021-07-13,13/07/2021,12:30pm - 3:30pm,Case attended venue multiple times across the day,2021-07-15,15/07/2021,19:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:30:00,15:30:00
Carnegie,Spotlight- Carnegie Central Shopping Centre,14/2 Koornang Road,VIC,3163,2021-07-13,13/07/2021,4:20pm - 5:00pm,Case attended venue,2021-07-15,15/07/2021,18:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:20:00,17:00:00
Avondale Heights,Coles - Avondale Heights,65 Military Road,VIC,3034,2021-07-12,12/07/2021,8:00am - 9:15am,Case attended,2021-07-15,15/07/2021,18:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",08:00:00,09:15:00
Malvern East (Chadstone),ZiNG Pop Culture - Chadstone Shopping Centre,1341 Dandenong Road,VIC,3148,2021-07-12,12/07/2021,5:25pm - 6:00pm,Case attended venue,2021-07-15,15/07/2021,17:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:25:00,18:00:00
Malvern East (Chadstone),Target - Chadstone Shopping Centre,1341 Dandenong Road,VIC,3148,2021-07-12,12/07/2021,5:25pm - 6:00pm,Case attended venue,2021-07-15,15/07/2021,17:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:25:00,18:00:00
Malvern East (Chadstone),Kmart - Chadstone Shopping Centre,1341 Dandenong Road,VIC,3148,2021-07-12,12/07/2021,5:25pm - 6:00pm,Case attended venue,2021-07-15,15/07/2021,17:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:25:00,18:00:00
Carnegie,Carnegie Central Shopping Centre,2/20 Koornang Rd,VIC,3163,2021-07-13,13/07/2021,4:20pm - 5:20pm,Case attended venue,2021-07-15,15/07/2021,17:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:20:00,17:20:00
Carnegie,Woolworths Carnegie North,2/20 Koornang Rd,VIC,3030,2021-07-13,13/07/2021,4:40pm - 5:15pm,Case attended venue,2021-07-15,15/07/2021,16:42:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:40:00,17:15:00
Public Transport,Metro Train Sunbury Line (Flinders St Station to Footscray Station),,VIC,,2021-07-10,10/07/2021,7:33pm - 7:46pm,"Case travelled",2021-07-15,15/07/2021,14:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",19:33:00,19:46:00
Craigieburn,Woolworths Craigieburn Plaza Shopping Centre,Craigieburn Road West & Hanson Rd,VIC,3064,2021-07-12,12/07/2021,1:15pm - 2:15pm,Case attended venue,2021-07-15,15/07/2021,14:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:15:00,14:15:00
Point Cook ,Coles Sanctuary Lakes Shopping Centre,300 Point Cook Road,VIC,3030,2021-07-14,14/07/2021,11:30am - 12:30pm,Case attended venue,2021-07-15,15/07/2021,14:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",11:30:00,12:30:00
Point Cook ,Sanctuary Lakes Hotel,280 Point Cook Rd,VIC,3030,2021-07-13,13/07/2021,12:00pm - 9:00pm,Case attended venue,2021-07-15,15/07/2021,14:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:00:00,21:00:00
Point Cook,"QuickFit Health Club",110/22-30 Wallace Avenue,VIC,3030,2021-07-13,13/07/2021,9:00pm - 10:30pm,Case attended venue,2021-07-15,15/07/2021,10:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,21:00:00,22:30:00
Werribee,Persist Fitness,85 Riverside Avenue,VIC,3030,2021-07-12,12/07/2021,6:30pm - 8:00pm,Case attended venue,2021-07-15,15/07/2021,10:40:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:30:00,20:00:00
Werribee,Persist Fitness,85 Riverside Avenue,VIC,3030,2021-07-13,13/07/2021,9:30am - 11:00am,Case attended venue,2021-07-15,15/07/2021,10:40:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:30:00,11:00:00
